Ten_Mon_An,Khoi_Luong_g,Calo,Protein,Chat_Beo,Tinh_Bot,Nhom_Thuc_Pham
Cows' milk,976,660.0,32,40.0,48.0,Dairy products
Milk skim,984,360.0,36,0.0,52.0,Dairy products
Buttermilk,246,127.0,9,5.0,13.0,Dairy products
"Evaporated, undiluted",252,345.0,16,20.0,24.0,Dairy products
Fortified milk,1419,1373.0,89,42.0,119.0,Dairy products
Powdered milk,103,515.0,27,28.0,39.0,Dairy products
"skim, instant",85,290.0,30,0.0,42.0,Dairy products
"skim, non-instant",85,290.0,30,0.0,42.0,Dairy products
Goats' milk,244,165.0,8,10.0,11.0,Dairy products
(1/2 cup ice cream),540,690.0,24,24.0,70.0,Dairy products
Cocoa,252,235.0,8,11.0,26.0,Dairy products
skim. milk,250,128.0,18,4.0,13.0,Dairy products
(cornstarch),248,275.0,9,10.0,40.0,Dairy products
Custard,248,285.0,13,14.0,28.0,Dairy products
Ice cream,188,300.0,6,18.0,29.0,Dairy products
Ice milk,190,275.0,9,10.0,32.0,Dairy products
Cream or half-and-half,120,170.0,4,15.0,5.0,Dairy products
or whipping,119,430.0,2,44.0,3.0,Dairy products
Cheese,225,240.0,30,11.0,6.0,Dairy products
uncreamed,225,195.0,38,0.0,6.0,Dairy products
Cheddar,17,70.0,4,6.0,0.0,Dairy products
"Cheddar, grated cup",56,226.0,14,19.0,1.0,Dairy products
Cream cheese,28,105.0,2,11.0,1.0,Dairy products
Processed cheese,28,105.0,7,9.0,0.0,Dairy products
Roquefort type,28,105.0,6,9.0,0.0,Dairy products
Swiss,28,105.0,7,8.0,0.0,Dairy products
Eggs raw,100,150.0,12,12.0,0.0,Dairy products
Eggs Scrambled or fried,128,220.0,13,16.0,1.0,Dairy products
Yolks,34,120.0,6,10.0,0.0,"Fats, Oils, Shortenings"
Butter,14,100.0,0,11.0,0.0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,100,665.0,0,100.0,0.0,"Fats, Oils, Shortenings"
Lard,110,992.0,0,110.0,0.0,"Fats, Oils, Shortenings"
Margarine,112,806.0,0,91.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",14,100.0,0,11.0,0.0,"Fats, Oils, Shortenings"
